epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90611,1.31654,2.39361,1.03374,0.84093,0.23132,0.69382,0.42389,1.23455,2.34876,0.95025,0.00032,0.00032,0.00032
2,19.4264,1.17321,1.03429,0.99039,0.82034,0.13158,0.46671,0.28189,1.23934,2.79697,1.04702,0.00065406,0.00065406,0.00065406
3,28.6464,1.12758,0.85517,0.9901,0.70442,0.21985,0.58977,0.37792,1.22639,2.36888,1.02332,0.000982,0.000982,0.000982
4,37.7048,1.122,0.81619,0.98589,0.83597,0.80683,0.88511,0.58852,1.15055,1.6299,0.9917,0.00130382,0.00130382,0.00130382
5,46.792,1.11311,0.80621,0.98358,0.90304,0.7057,0.86899,0.59215,1.13896,1.60605,0.99244,0.00161952,0.00161952,0.00161952
6,55.8391,1.12525,0.78871,0.98869,0.83279,0.80794,0.88778,0.59136,1.19352,1.16343,1.03283,0.00191,0.00191,0.00191
7,64.822,1.1332,0.78406,0.9849,0.86658,0.82711,0.91297,0.62836,1.12886,0.8384,1.01492,0.001892,0.001892,0.001892
8,73.8263,1.09764,0.75026,0.98419,0.86848,0.85975,0.93475,0.65581,1.08393,0.8736,1.01359,0.001874,0.001874,0.001874
9,82.7785,1.09076,0.72128,0.98306,0.83583,0.88154,0.92778,0.6405,1.11316,0.76762,1.00911,0.001856,0.001856,0.001856
10,91.8691,1.09026,0.71867,0.98313,0.82877,0.88154,0.9235,0.63736,1.10196,0.77122,1.00094,0.001838,0.001838,0.001838
11,101.35,1.07297,0.70598,0.98076,0.85398,0.8698,0.92397,0.63103,1.11752,0.73571,1.02106,0.00182,0.00182,0.00182
12,110.628,1.07897,0.68117,0.97884,0.87297,0.89476,0.95059,0.66205,1.08701,0.69393,0.99704,0.001802,0.001802,0.001802
13,119.968,1.04912,0.66048,0.97171,0.8842,0.87086,0.94457,0.67183,1.05303,0.66342,0.98681,0.001784,0.001784,0.001784
14,129.198,1.05022,0.66909,0.97138,0.86176,0.89811,0.9473,0.66746,1.0789,0.79909,1.0085,0.001766,0.001766,0.001766
15,138.258,1.04739,0.65968,0.97403,0.85488,0.91163,0.94661,0.66009,1.09707,0.70932,0.99297,0.001748,0.001748,0.001748
16,147.444,1.03761,0.6293,0.95852,0.86621,0.91676,0.9365,0.6599,1.08478,0.75283,0.99637,0.00173,0.00173,0.00173
